Number;Genes;Adjusted p-value;Log fold change;Cluster
99;Pde4d;2,61E-93;3,202786;High Intronic
0;Ppp3ca;0;2,2589562;L2/3 IT
1;Prex1;0;4,4366946;L2/3 IT
2;Tspan13;0;1,5459038;L2/3 IT
3;Gria3;0;2,8927615;L2/3 IT
4;Cinp;0;2,1820517;L2/3 IT
5;Atp2b1;0;1,8714474;L2/3 IT
6;Synpo;0;3,3675563;L2/3 IT
7;Chst1;0;2,891755;L2/3 IT
8;Gsta4;0;4,365176;L2/3 IT
9;Rasl10a;0;5,4429107;L2/3 IT
10;Dgkb;0;4,289161;L2/3 IT
11;Nrgn;0;4,7673078;L2/3 IT
12;Pcsk2;0;2,9031498;L2/3 IT
13;Dusp18;0;4,846562;L2/3 IT
14;Ctxn1;0;3,5520997;L2/3 IT
15;Fam131a;0;2,7437356;L2/3 IT
16;Gucy1a3;0;4,4962873;L2/3 IT
17;Kcnv1;0;5,10065;L2/3 IT
18;Nell2;0;3,381532;L2/3 IT
19;Rgs7;0;2,3907373;L2/3 IT
20;Palmd;0;5,0757284;L2/3 IT
21;Lhx2;0;4,8170605;L2/3 IT
22;2010300C02Rik;0;3,841654;L2/3 IT
23;Sorbs2;0;2,83865;L2/3 IT
24;Pop5;0;1,6752318;L2/3 IT
25;Pdzrn3;0;4,6389146;L2/3 IT
26;Grasp;0;4,0741973;L2/3 IT
27;Dact2;0;3,2908149;L2/3 IT
28;Ppp1r1a;0;2,072663;L2/3 IT
29;Rps6ka2;0;4,1079626;L2/3 IT
30;Fam84a;0;4,238161;L2/3 IT
31;9130024F11Rik;0;3,5965345;L2/3 IT
32;Plk2;0;2,4385524;L2/3 IT
33;Tsc22d1;0;1,4451748;L2/3 IT
34;Gm20063;0;4,8530664;L2/3 IT
35;Evc2;0;5,749741;L2/3 IT
36;Cyp46a1;0;1,9347434;L2/3 IT
37;Cnksr2;0;3,397045;L2/3 IT
38;A830009L08Rik;0;4,573567;L2/3 IT
39;Rasgrf2;0;4,18347;L2/3 IT
40;11. Sep;0;1,4909586;L2/3 IT
41;Nov;0;4,8174143;L2/3 IT
42;Gm30687;0;4,6609735;L2/3 IT
43;LOC102634502;0;4,330797;L2/3 IT
44;Gm34996;0;5,165784;L2/3 IT
45;Rtn4rl1;0;4,0773625;L2/3 IT
46;Actr3b;0;2,292116;L2/3 IT
47;Lrrtm4;0;3,5180705;L2/3 IT
48;Gm12371;0;6,239425;L2/3 IT
49;Cpne6;0;3,1018603;L2/3 IT
50;Atp2b4;0;5,009262;L2/3 IT
51;Gsg1l;0;5,3824573;L2/3 IT
52;Gpr88;0;6,3320827;L2/3 IT
53;Schip1;0;2,6732142;L2/3 IT
54;Ptk2b;0;5,0606627;L2/3 IT
55;Calb1;0;8,019546;L2/3 IT
56;Arl15;0;3,4280024;L2/3 IT
57;Chn1;0;2,0717173;L2/3 IT
58;Arpp21;0;4,832925;L2/3 IT
59;Lamp5;0;7,5711584;L2/3 IT
60;Tesc;0;5,3578186;L2/3 IT
61;Fam19a1;0;7,0831356;L2/3 IT
62;Pvrl3;0;5,6101484;L2/3 IT
63;Itpka;0;5,3926;L2/3 IT
64;Enpp2;0;5,8777614;L2/3 IT
65;Pdp1;0;3,9894755;L2/3 IT
66;Mapk4;0;4,9259667;L2/3 IT
67;Rilpl1;0;4,089237;L2/3 IT
68;B230216N24Rik;0;5,212615;L2/3 IT
69;Cacng3;0;3,3560903;L2/3 IT
70;Myh7;0;7,049229;L2/3 IT
71;Fkbp1a;0;1,4511598;L2/3 IT
72;Atp1a1;0;2,2638116;L2/3 IT
73;Tsnax;0;2,3116002;L2/3 IT
74;Stard8;0;6,3800235;L2/3 IT
75;Igfbp6;0;5,859942;L2/3 IT
76;Cux2;0;4,2947984;L2/3 IT
77;Baiap2;0;4,10981;L2/3 IT
78;C730002L08Rik;0;5,453882;L2/3 IT
79;Camk2n1;0;2,4775963;L2/3 IT
80;Meis2;0;5,6958375;L2/3 IT
81;Pkig;0;1,7165887;L2/3 IT
82;Btg3;0;3,2033741;L2/3 IT
83;BC030499;0;5,6233544;L2/3 IT
84;Ppp3r1;0;1,6499763;L2/3 IT
85;Arpp19;0;2,5535393;L2/3 IT
86;Actn1;0;2,750193;L2/3 IT
87;Dusp14;0;3,7885594;L2/3 IT
88;Kctd1;0;3,9923794;L2/3 IT
89;Wfs1;0;5,5346026;L2/3 IT
90;Arpc2;0;1,366812;L2/3 IT
91;Olfm1;0;2,178884;L2/3 IT
92;Mapk1;0;1,3866067;L2/3 IT
93;Tpm1;0;1,783683;L2/3 IT
94;Neurod1;0;5,396538;L2/3 IT
95;Rgl1;0;3,6049616;L2/3 IT
96;Enc1;0;4,0502257;L2/3 IT
97;Rgs14;0;5,3693137;L2/3 IT
98;Kctd4;0;5,2193666;L2/3 IT
99;Map9;0;1,855811;L2/3 IT
0;Nrxn1;0;2,1956315;L4
1;Extl3;0;3,3742664;L4
2;Neurod1;0;5,2101545;L4
3;Rims2;0;2,067165;L4
4;Hecw1;0;2,674302;L4
5;Dkkl1;0;5,9779077;L4
6;Lingo1;0;4,653838;L4
7;Pamr1;0;5,8488407;L4
8;Syt13;0;2,331786;L4
9;Ramp1;0;4,000455;L4
10;Syne1;0;1,9683295;L4
11;Gfra2;0;4,6790285;L4
12;BC030499;0;5,611172;L4
13;Unc5d;0;4,6295996;L4
14;Grm2;0;5,054442;L4
15;Osbpl1a;0;2,460989;L4
16;Exph5;0;5,177297;L4
17;Gpr158;0;3,5483625;L4
18;N28178;0;3,6480396;L4
19;Nrn1;0;6,1040854;L4
20;Kcnb1;0;2,7392325;L4
21;Homer1;0;3,13547;L4
22;Nrgn;0;4,7826977;L4
23;Slc1a2;0;3,995874;L4
24;Nuak1;0;3,911679;L4
25;B2m;0;2,4980514;L4
26;Kcnh5;0;4,816619;L4
27;Tpt1-ps3;0;1,0466344;L4
28;Cd302;0;4,2980084;L4
29;Lrrk2;0;3,853592;L4
30;Grm7;0;3,3926187;L4
31;Mras;0;2,541743;L4
32;Cadps2;0;4,929852;L4
33;Adora1;0;4,075166;L4
34;Lzts3;0;3,3056405;L4
35;Lrrc4c;0;2,4094956;L4
36;Fam212b;0;4,5494986;L4
37;Cux1;0;3,7718403;L4
38;Bai1;0;2,3441331;L4
39;Ier5;0;4,095599;L4
40;Asap1;0;2,0059805;L4
41;Satb2;0;4,560628;L4
42;Cpne8;0;4,238524;L4
43;Cnksr2;0;3,528125;L4
44;Kcnma1;0;2,4972675;L4
45;Glcci1;0;3,7205787;L4
46;Arc;0;5,450852;L4
47;Rasl11b;0;4,4168158;L4
48;AI593442;0;2,6380436;L4
49;Ptn;0;5,0647306;L4
50;Egr1;0;4,623042;L4
51;Egr3;0;5,4745502;L4
52;Cux2;0;4,9394937;L4
53;R3hdm2;0;2,6921525;L4
54;LOC101056001;0;5,7590213;L4
55;Mical2;0;2,8863142;L4
56;Atp2b2;0;2,0552123;L4
57;Tmem145;0;3,7594233;L4
58;Camk4;0;4,23498;L4
59;Whrn;0;6,0988703;L4
60;Brinp3;0;5,6102867;L4
61;Plcxd2;0;5,406191;L4
62;Cbln4;0;7,484536;L4
63;Foxp1;0;3,7569568;L4
64;Atp1a1;0;2,5461888;L4
65;Rgs4;0;5,075087;L4
66;Arpp21;0;5,0060067;L4
67;Camk2n1;0;3,2389383;L4
68;Rspo1;0;8,454195;L4
69;Fmnl1;0;4,506553;L4
70;R3hdm1;0;3,324493;L4
71;Rorb;0;7,7750397;L4
72;Kalrn;0;3,0100684;L4
73;Mast3;0;4,3818917;L4
74;Dnajc21;0;3,6386268;L4
75;S100a10;0;5,5914707;L4
76;Golga7b;0;2,9620137;L4
77;Camk2a;0;2,9592223;L4
78;Stx1a;0;3,4292345;L4
79;Mef2c;0;1,9808133;L4
80;Nrep;0;3,7079341;L4
81;Pdp1;0;3,6794658;L4
82;Epha4;0;4,695211;L4
83;Brinp1;0;2,9528623;L4
84;Osbp2;0;3,4083288;L4
85;Slc17a6;0;6,6784186;L4
86;Tenm4;0;3,2877388;L4
87;Krt12;0;5,2697577;L4
88;Ppp3ca;0;1,9150063;L4
89;Ptprd;0;2,8180037;L4
90;Igfn1;0;6,5380707;L4
91;Tenm2;0;3,198212;L4
92;1110008P14Rik;0;2,7384803;L4
93;Hivep2;0;2,4533346;L4
94;Cpne9;0;6,076431;L4
95;Cdh12;0;4,494685;L4
96;Coch;0;6,1191506;L4
97;Rims3;0;3,9082186;L4
98;Nudt4;0;2,846978;L4
99;Crhr1;0;4,7723737;L4
0;Krt12;0;5,7243915;L5 IT
1;Bok;0;3,9251978;L5 IT
2;Lin7a;0;3,3827174;L5 IT
3;Ap3m2;0;2,4024987;L5 IT
4;Crym;0;6,276164;L5 IT
5;Tagln3;0;1,3827771;L5 IT
6;Mef2c;0;1,856948;L5 IT
7;Coch;0;5,0768228;L5 IT
8;Hs3st2;0;5,1099787;L5 IT
9;C2cd4b;0;3,952552;L5 IT
10;Gfra2;0;4,3815484;L5 IT
11;Basp1;0;1,4507147;L5 IT
12;Tnnc1;0;6,39366;L5 IT
13;Gm20063;0;4,957448;L5 IT
14;Tuba4a;0;1,6647606;L5 IT
15;Arpp19;0;2,4311953;L5 IT
16;Cobl;0;4,379489;L5 IT
17;Ptn;0;4,9401393;L5 IT
18;C730002L08Rik;0;5,036544;L5 IT
19;Syn1;0;1,6258621;L5 IT
20;Wnt4;0;4,650207;L5 IT
21;Cd83;0;5,0434055;L5 IT
22;Camkk2;0;2,6501837;L5 IT
23;Slc39a10;0;2,9200375;L5 IT
24;Slc30a3;0;4,237647;L5 IT
25;Tpd52l1;0;4,0521603;L5 IT
26;Agbl4;0;3,318897;L5 IT
27;Ywhah;0;1,2400987;L5 IT
28;Pkib;0;4,1466904;L5 IT
29;Cck;0;5,3641505;L5 IT
30;Adcyap1;0;5,2326484;L5 IT
31;Prdm8;0;4,305224;L5 IT
32;Pip4k2a;0;3,4527526;L5 IT
33;Fras1;0;4,2859206;L5 IT
34;Ptgfrn;0;3,9450994;L5 IT
35;Boc;0;4,2309275;L5 IT
36;Tspan5;0;1,6272845;L5 IT
37;Dusp14;0;3,4415119;L5 IT
38;Ppp3r1;0;1,4376225;L5 IT
39;Stmn2;0;1,4744916;L5 IT
40;Cdyl2;0;3,6742482;L5 IT
41;Glt8d2;0;4,519013;L5 IT
42;Sv2b;0;5,2111106;L5 IT
43;Klf10;0;4,612071;L5 IT
44;Phyhip;0;2,3697724;L5 IT
45;Fhod3;0;3,5231457;L5 IT
46;Gm35810;0;4,5763397;L5 IT
47;Lingo1;0;4,3972692;L5 IT
48;Foxp1;0;3,2743347;L5 IT
49;Lhx2;0;4,5696254;L5 IT
50;Shisa4;0;2,103386;L5 IT
51;Adra1d;0;3,6670551;L5 IT
52;Cpne9;0;5,7742205;L5 IT
53;Cnih3;0;4,5507264;L5 IT
54;LOC101056001;0;5,194727;L5 IT
55;6330403A02Rik;0;4,845911;L5 IT
56;Rgs4;0;4,7029104;L5 IT
57;Camk4;0;3,9791508;L5 IT
58;Grm2;0;5,2631125;L5 IT
59;Pamr1;0;6,165286;L5 IT
60;Nrn1;0;6,431351;L5 IT
61;Rtn1;0;1,2429998;L5 IT
62;Snca;0;2,7934797;L5 IT
63;S100a10;0;5,689857;L5 IT
64;Ly6e;0;2,0487533;L5 IT
65;Hpca;0;3,0631597;L5 IT
66;Tcrb;0;5,689356;L5 IT
67;Scube1;0;5,435196;L5 IT
68;Lmo4;0;3,7198443;L5 IT
69;Neurod6;0;6,6778097;L5 IT
70;Stx1a;0;3,6808667;L5 IT
71;Dkkl1;0;6,7894993;L5 IT
72;Itpka;0;5,330865;L5 IT
73;05. Sep;0;1,8769021;L5 IT
74;Kcnv1;0;5,377618;L5 IT
75;Sh3gl2;0;2,319423;L5 IT
76;Tusc3;0;1,523156;L5 IT
77;Cdk14;0;2,9942768;L5 IT
78;Ovol2;0;4,6264405;L5 IT
79;Cfl1;0;0,6263922;L5 IT
80;Pgm2l1;0;2,319;L5 IT
81;Stmn1;0;1,5270116;L5 IT
82;Fat3;0;4,377044;L5 IT
83;Osbpl1a;0;2,3789344;L5 IT
84;Dkk3;0;4,723692;L5 IT
85;Grm3;0;4,1872067;L5 IT
86;Gm13601;0;3,9235494;L5 IT
87;Lhfp;0;4,6729627;L5 IT
88;Tspan17;0;3,5716677;L5 IT
89;Car10;0;4,1533856;L5 IT
90;Lin7b;0;1,975826;L5 IT
91;Rtn4r;0;4,6767817;L5 IT
92;Kcnk4;0;4,08046;L5 IT
93;Fam212b;0;4,812341;L5 IT
94;Epha4;0;4,5003014;L5 IT
95;Slc17a7;0;5,9017243;L5 IT
96;Myl4;0;6,048156;L5 IT
97;Rorb;0;5,732735;L5 IT
98;Dnajc21;0;3,1799765;L5 IT
99;St6galnac5;0;4,2279396;L5 IT
0;Fam19a1;0;8,179921;L5 PT
1;Chn1;0;1,9461819;L5 PT
2;Sdhb;0;0,8832347;L5 PT
3;Nkiras1;0;1,198404;L5 PT
4;Atp5g1;0;1,0873361;L5 PT
5;Dtnbp1;0;2,639751;L5 PT
6;Adcyap1;0;6,045408;L5 PT
7;Kcnn2;0;3,7665036;L5 PT
8;Gm34583;0;6,63009;L5 PT
9;Kcng1;0;5,782039;L5 PT
10;Bcl11b;0;4,3903313;L5 PT
11;Tox;0;4,7023616;L5 PT
12;Gng13;0;2,0725756;L5 PT
13;Mal2;0;2,2218575;L5 PT
14;Bhlhe40;0;5,1338964;L5 PT
15;Serpine2;0;6,1090016;L5 PT
16;Meis2;0;5,74133;L5 PT
17;Mgst3;0;1,8598229;L5 PT
18;Bcl6;0;5,020265;L5 PT
19;Ckmt1;0;2,1118593;L5 PT
20;Gm19410;0;6,721095;L5 PT
21;Fezf2;0;7,1948767;L5 PT
22;Npr3;0;7,257237;L5 PT
23;Chst8;0;6,4727526;L5 PT
24;Fam84b;0;7,228047;L5 PT
25;Pou3f1;0;7,158306;L5 PT
26;Tmem163;0;6,8848367;L5 PT
27;Gmpr;0;2,9815776;L5 PT
28;Gm2164;0;7,296124;L5 PT
29;Prkcg;0;4,1823215;L5 PT
30;Mpc2;0;1,3371704;L5 PT
31;Pex5l;0;3,962546;L5 PT
32;Gap43;0;2,9738731;L5 PT
33;Arhgdig;1,54E-307;1,8868484;L5 PT
34;Pcsk5;3,12E-306;4,9617243;L5 PT
35;Bend5;9,14E-306;4,01695;L5 PT
36;Lamp5;1,21E-304;7,066248;L5 PT
37;Gnb5;2,27E-304;1,7226558;L5 PT
38;Polr2h;5,09E-304;2,1912322;L5 PT
39;Atp2b1;2,59E-301;1,935655;L5 PT
40;Sdcbp;2,90E-299;1,6050088;L5 PT
41;Cacna1h;2,62E-297;4,981756;L5 PT
42;Gm36916;2,65E-295;3,8697371;L5 PT
43;Uqcr11;2,79E-293;0,90922695;L5 PT
44;Ldb2;1,54E-292;4,33865;L5 PT
45;Fam131a;4,54E-290;2,691679;L5 PT
46;Sec14l1;1,61E-289;2,5225468;L5 PT
47;Slc8a1;1,66E-285;2,489418;L5 PT
48;Enc1;2,72E-285;3,8083308;L5 PT
49;Vat1l;1,60E-284;4,199891;L5 PT
50;Sh3bgrl3;4,21E-284;1,5097852;L5 PT
51;Sorl1;7,78E-284;3,0785272;L5 PT
52;Atp5k;5,04E-280;0,9991339;L5 PT
53;Rapgef5;9,51E-280;3,6207097;L5 PT
54;Ccl27a;2,73E-279;1,8122642;L5 PT
55;Ldhb;7,05E-279;1,0438561;L5 PT
56;Cdh22;4,48E-278;4,367546;L5 PT
57;Tspan13;1,66E-277;1,5423205;L5 PT
58;Nos1ap;1,75E-277;2,8060083;L5 PT
59;Etv1;3,36E-277;4,997356;L5 PT
60;Etv5;3,84E-276;2,8745055;L5 PT
61;Galnt16;8,77E-276;3,744744;L5 PT
62;Ntng1;1,64E-275;4,6048975;L5 PT
63;Atp5o;2,44E-274;0,9197249;L5 PT
64;1110008P14Rik;7,80E-272;2,453411;L5 PT
65;Uqcr10;5,86E-271;0,932837;L5 PT
66;Tubb3;1,72E-269;1,5901026;L5 PT
67;Atp5j2;4,72E-269;0,95782936;L5 PT
68;Nefm;5,05E-269;4,510323;L5 PT
69;Rgma;1,85E-266;3,8200192;L5 PT
70;Tekt5;1,21E-264;5,485729;L5 PT
71;Slc5a5;2,77E-263;4,804499;L5 PT
72;Atp5f1;6,25E-261;0,7888438;L5 PT
73;Ryr3;2,34E-260;4,2970862;L5 PT
74;Parm1;2,98E-260;5,0248175;L5 PT
75;Mas1;7,51E-259;5,1940436;L5 PT
76;Sgpp2;5,54E-257;4,6504393;L5 PT
77;Esd;3,76E-255;1,22201;L5 PT
78;Usmg5;2,13E-254;0,7756476;L5 PT
79;2410015M20Rik;1,48E-251;1,0286607;L5 PT
80;Pigp;3,00E-251;2,0079439;L5 PT
81;Efr3a;3,24E-251;1,797701;L5 PT
82;Cds1;1,16E-250;2,5972211;L5 PT
83;Tiam2;1,89E-250;4,0079107;L5 PT
84;Calm2;3,10E-250;0,9372546;L5 PT
85;Cox6c;4,01E-250;0,7444574;L5 PT
86;Gpr123;1,25E-248;2,445009;L5 PT
87;Nme1;1,25E-248;0,99794704;L5 PT
88;Tmem150c;1,28E-248;3,8749125;L5 PT
89;Hspa12a;7,51E-248;2,9073517;L5 PT
90;Ndufa3;1,14E-247;0,9015308;L5 PT
91;Ppm1e;2,09E-247;2,12832;L5 PT
92;Ina;1,90E-246;2,286095;L5 PT
93;Ndufab1;1,48E-245;0,8289623;L5 PT
94;Timm17a;3,09E-244;0,967851;L5 PT
95;Atox1;3,24E-243;1,1584026;L5 PT
96;Scn4b;2,66E-242;4,91411;L5 PT
97;Pop5;1,94E-241;1,5021503;L5 PT
98;2010107E04Rik;2,98E-241;0,9121919;L5 PT
99;Gm32960;1,62E-239;5,821919;L5 PT
0;Foxp2;0;9,379705;L6 CT
1;Dynll1;0;1,3117678;L6 CT
2;Emb;0;3,509111;L6 CT
3;Adcy1;0;2,3691905;L6 CT
4;Cdh18;0;4,2715197;L6 CT
5;Jup;0;4,1819086;L6 CT
6;Ncald;0;2,0134807;L6 CT
7;Adora1;0;4,061856;L6 CT
8;Pde1a;0;4,916502;L6 CT
9;Ldha;0;1,598549;L6 CT
10;Mctp1;0;3,8973157;L6 CT
11;Fxyd7;0;3,3634088;L6 CT
12;Fut9;0;2,6780188;L6 CT
13;Chgb;0;2,0301158;L6 CT
14;Sez6;0;3,7233942;L6 CT
15;Baiap2;0;3,9522777;L6 CT
16;Cpe;0;1,0954452;L6 CT
17;Ina;0;2,4487517;L6 CT
18;Galnt9;0;4,0155363;L6 CT
19;Npdc1;0;1,1766893;L6 CT
20;Rprml;0;4,328545;L6 CT
21;Hpcal4;0;2,7622604;L6 CT
22;Diras2;0;3,584083;L6 CT
23;Ptk2;0;2,8465157;L6 CT
24;Htr1f;0;4,2285647;L6 CT
25;Gm26974;0;4,5712614;L6 CT
26;Arpc3;0;1,1529547;L6 CT
27;Gm13306;0;2,3223572;L6 CT
28;Rasgrp1;0;4,2790103;L6 CT
29;Itm2c;0;1,2856473;L6 CT
30;Kcnk1;0;1,8757974;L6 CT
31;Pdlim1;0;5,2404976;L6 CT
32;Klf9;0;2,2471018;L6 CT
33;Il11ra1;0;4,1668506;L6 CT
34;Igh;0;4,1067305;L6 CT
35;Ddah1;0;3,980261;L6 CT
36;Slc1a2;0;3,5040083;L6 CT
37;Ier5;0;3,8872993;L6 CT
38;Ptk2b;0;4,661718;L6 CT
39;Serinc2;0;4,6719913;L6 CT
40;Brk1;0;1,1142737;L6 CT
41;Nfib;0;3,4670577;L6 CT
42;Kcnip3;0;4,161297;L6 CT
43;Grik3;0;4,1864367;L6 CT
44;Dkk3;0;4,4613976;L6 CT
45;Necab3;0;3,4269803;L6 CT
46;Spsb1;0;4,779257;L6 CT
47;Ogfrl1;0;1,7592517;L6 CT
48;B3galt2;0;3,8195722;L6 CT
49;Tuba4a;0;1,74275;L6 CT
50;Efhd2;0;2,0660577;L6 CT
51;Nrp1;0;5,6218467;L6 CT
52;Nptx1;0;5,3210316;L6 CT
53;Ipcef1;0;5,14583;L6 CT
54;Nos1ap;0;3,3145688;L6 CT
55;Col5a1;0;6,9928083;L6 CT
56;Nxph3;0;5,929796;L6 CT
57;Pcp4;0;6,2209716;L6 CT
58;Ramp3;0;6,000732;L6 CT
59;Ccl27a;0;2,2292912;L6 CT
60;Crym;0;7,790106;L6 CT
61;Rab26;0;4,6579103;L6 CT
62;Syt6;0;7,6178594;L6 CT
63;Garnl3;0;4,108695;L6 CT
64;Tle4;0;5,488406;L6 CT
65;Gadd45a;0;5,9624143;L6 CT
66;Prkcb;0;2,4766467;L6 CT
67;Ttc9b;0;3,014966;L6 CT
68;Hs3st4;0;6,6250114;L6 CT
69;Tcrb;0;6,744749;L6 CT
70;3110035E14Rik;0;6,407568;L6 CT
71;Rprm;0;7,976703;L6 CT
72;Me3;0;3,6158822;L6 CT
73;Arhgap25;0;6,6852317;L6 CT
74;Tbr1;0;5,0643225;L6 CT
75;Scg3;0;2,1730123;L6 CT
76;Lpgat1;0;2,1240664;L6 CT
77;Rtn4;0;1,8306766;L6 CT
78;Ephb1;0;4,4187236;L6 CT
79;Fezf2;0;6,039657;L6 CT
80;Hs3st2;0;5,3649516;L6 CT
81;Nfia;0;4,7876163;L6 CT
82;Igsf21;0;5,048937;L6 CT
83;Prkcg;0;4,045952;L6 CT
84;H2-T23;0;5,456293;L6 CT
85;Ano3;0;4,5945497;L6 CT
86;Gm30512;0;5,080966;L6 CT
87;Atp2b1;0;2,005065;L6 CT
88;Ppp1r1b;0;5,134635;L6 CT
89;07. Sep;0;1,0476378;L6 CT
90;Sptbn5;0;5,6964173;L6 CT
91;Igfbp4;0;5,5549483;L6 CT
92;Gm30620;0;9,283937;L6 CT
93;Med10;0;2,10052;L6 CT
94;Zfpm2;0;6,110513;L6 CT
95;Gng12;0;5,454433;L6 CT
96;Rell1;0;5,3412485;L6 CT
97;Ctxn1;0;3,7097058;L6 CT
98;Cyth2;0;1,9642112;L6 CT
99;Mmp17;0;3,6023197;L6 CT
0;Tesc;0;6,1208262;L6 IT
1;Adamts3;0;4,040233;L6 IT
2;Mapk11;0;3,831221;L6 IT
3;Satb2;0;4,322363;L6 IT
4;9130024F11Rik;0;3,4473708;L6 IT
5;Sv2b;0;5,078162;L6 IT
6;Blnk;0;5,624689;L6 IT
7;Slit3;0;3,3385887;L6 IT
8;Crtac1;0;3,942713;L6 IT
9;Mmp17;0;3,6437721;L6 IT
10;Neurod6;0;5,921069;L6 IT
11;Hpca;0;2,6547372;L6 IT
12;B3galt2;0;3,4987726;L6 IT
13;Ppp1r1a;0;2,0984201;L6 IT
14;Cacna1e;0;3,0580547;L6 IT
15;2010111I01Rik;0;3,1688678;L6 IT
16;Gm11549;0;5,048822;L6 IT
17;Cpne5;0;4,104628;L6 IT
18;Rasgrp1;0;4,427593;L6 IT
19;Nptx1;0;4,5433764;L6 IT
20;Ldb2;0;4,280329;L6 IT
21;3110035E14Rik;0;5,2089276;L6 IT
22;H2-T23;0;4,4569592;L6 IT
23;Hs3st2;0;4,9428334;L6 IT
24;02. Mar;0;2,3273535;L6 IT
25;Sema3e;0;4,5151668;L6 IT
26;Osr1;0;7,8588915;L6 IT
27;Pfkl;0;2,4774587;L6 IT
28;Sstr2;0;4,3258686;L6 IT
29;Sorcs3;0;4,0051765;L6 IT
30;Gnb4;0;4,0552416;L6 IT
31;Sdk2;0;3,5887873;L6 IT
32;Fmnl1;0;3,358501;L6 IT
33;Nnat;0;5,2314672;L6 IT
34;Pdia5;0;4,683288;L6 IT
35;Itm2c;0;1,2034081;L6 IT
36;Ssbp3;0;1,8252546;L6 IT
37;Nrn1;0;5,792523;L6 IT
38;Extl1;0;3,3006723;L6 IT
39;Fam105a;0;3,7437384;L6 IT
40;Pfkp;0;1,5028409;L6 IT
41;Pdrg1;0;2,0444534;L6 IT
42;Baiap2;0;3,8698044;L6 IT
43;Mapk1;0;1,1102738;L6 IT
44;Tenm3;0;3,5690985;L6 IT
45;Gpm6b;0;2,0690908;L6 IT
46;Rhou;0;3,5773275;L6 IT
47;Olfm1;0;1,9760149;L6 IT
48;Ak4;0;4,0738316;L6 IT
49;Mgat5;0;3,4472444;L6 IT
50;Gpr22;0;2,612762;L6 IT
51;Pcsk2;0;3,0218647;L6 IT
52;Dok5;0;3,6801758;L6 IT
53;Rtn4rl2;0;5,0672994;L6 IT
54;Atp2b4;0;5,1375203;L6 IT
55;Col6a1;0;6,635112;L6 IT
56;Tpm1;0;1,7576485;L6 IT
57;Ociad2;0;2,9532294;L6 IT
58;Igfbp6;0;6,0626073;L6 IT
59;C1ql3;0;5,4075747;L6 IT
60;Hpcal4;0;2,9830842;L6 IT
61;Nell2;0;3,7136545;L6 IT
62;Slc26a4;0;6,589594;L6 IT
63;Eno1;0;1,2484723;L6 IT
64;Pter;0;4,9033604;L6 IT
65;Ak5;0;4,035195;L6 IT
66;Bmp3;0;6,3776517;L6 IT
67;Igsf21;0;5,6590915;L6 IT
68;Schip1;0;2,8428905;L6 IT
69;Cck;0;5,9251776;L6 IT
70;Gm2694;0;6,3003044;L6 IT
71;Rasl10a;0;6,9578934;L6 IT
72;Eno1b;0;1,3412758;L6 IT
73;Enc1;0;3,9357803;L6 IT
74;Fhl2;0;4,1639028;L6 IT
75;Ensa;0;1,362688;L6 IT
76;Ttc9b;0;2,2398467;L6 IT
77;Snca;0;2,4946074;L6 IT
78;Fkbp1a;0;0,9672349;L6 IT
79;Mas1;0;5,2893567;L6 IT
80;Pdlim1;0;5,331043;L6 IT
81;Rtn4;0;1,7445936;L6 IT
82;Rtn4r;0;4,4079137;L6 IT
83;Lmo4;0;3,2928834;L6 IT
84;Slc17a7;0;5,648625;L6 IT
85;Lingo1;0;4,5350876;L6 IT
86;Car12;0;5,376652;L6 IT
87;Brk1;0;1,1340504;L6 IT
88;Cdh9;0;5,09092;L6 IT
89;Dynll1;0;1,3295848;L6 IT
90;Gm4735;0;1,1840237;L6 IT
91;Aldoa;0;0,7204515;L6 IT
92;Fancd2;0;5,199032;L6 IT
93;Atp2b1;0;1,8819344;L6 IT
94;Ldha;0;1,6472403;L6 IT
95;Sh3bgrl3;0;1,5792315;L6 IT
96;Slc7a4;0;3,2984042;L6 IT
97;Ctxn1;0;3,6695821;L6 IT
98;Necab3;0;3,544079;L6 IT
99;Otub2;0;3,406186;L6 IT
0;Ctgf;1,83E-287;10,33918;L6b
1;Nxph4;5,56E-283;11,166246;L6b
2;Cplx3;1,20E-282;10,459437;L6b
3;Nxph3;2,57E-260;6,9823146;L6b
4;Phyhipl;1,51E-257;2,069336;L6b
5;Tmem163;1,37E-252;8,019105;L6b
6;Gng12;8,79E-252;6,3956776;L6b
7;LOC105246064;4,55E-245;7,1870136;L6b
8;Atp6ap2;2,06E-243;1,4525133;L6b
9;Fam163b;3,73E-242;3,9200058;L6b
10;Gap43;3,53E-241;3,0046482;L6b
11;Hs3st4;4,07E-239;6,266187;L6b
12;Cnih2;1,24E-235;2,1360304;L6b
13;3110035E14Rik;9,19E-234;6,0593233;L6b
14;Tle4;1,53E-233;5,41477;L6b
15;Rab26;4,58E-232;4,642221;L6b
16;Kcnip3;1,35E-228;4,97003;L6b
17;Ttc9b;2,31E-223;2,847743;L6b
18;2900011O08Rik;1,35E-222;1,8361003;L6b
19;Kcnmb4;7,25E-222;3,4628475;L6b
20;Ly6g6e;2,77E-220;8,577792;L6b
21;Pcp4;1,24E-218;6,112787;L6b
22;Pcsk5;1,68E-217;5,997608;L6b
23;07. Sep;1,37E-216;1,1950865;L6b
24;Prss12;1,51E-216;6,0434775;L6b
25;Chga;2,15E-216;2,2089782;L6b
